355,201|395,237|395,237|5001||11|office room|11|11
421,180|406,222|406,222|5002||11|office room|11|11
482,180|460,222|460,222|5003||11|office room|11|11
610,180|618,222|618,222|5005||11|office room|11|11
649,180|636,222|636,222|5006||11|office room|11|11
872,724|842,685|842,685|5013||11|office room|11|11
808,724|791,685|791,685|5014||11|office room|11|11
752,724|772,685|772,685|5015||11|office room|11|11
701,724|721,685|721,685|5016||11|office room|11|11
661,724|669,685|669,685|5017||11|office room|11|11
538,724|507,685|507,685|5019||11|office room|11|11
472,724|489,685|489,685|5020||11|office room|11|11
421,724|438,685|438,685|5021||11|office room|11|11
355,724|382,685|382,685|5022||11|office room|11|11
355,570|395,598|395,598|5024||11|office room|11|11
355,505|395,522|395,522|5025||11|office room|11|11
489,347|524,324|524,324|||6|stair|6|6
778,582|752,628|752,628|||6|stair|6|6
702,574|682,577|682,577|Lift 5||4|lift|4|4
702,623|681,620|681,620|Lift 6||4|lift|4|4
723,331|732,303|732,303|||2|toilet (male)|2|2
772,298|739,287|739,287|||3|toilet (female)|3|3
613,321|671,246,671,398|671,246,671,398|5007||12|class room|12|12
