638,955|762,919|762,919|LG5201||11|office room|11|11
645,952|764,920|764,920|LG5201||11|office room|11|11
602,1032|652,1042|652,1042|LG5202||11|office room|11|11
590,1077|664,1094|664,1094|LG5203||11|office room|11|11
716,1031|760,1042|760,1042|LG5204||11|office room|11|11
718,1082|670,1104|670,1104|LG5205||11|office room|11|11
697,1167|669,1144|669,1144|LG5206||11|office room|11|11
759,1168|724,1126|724,1126|LG5207||11|office room|11|11
746,1215|669,1222|669,1222|LG5208||11|office room|11|11
953,854|910,914|910,914|LG5209||11|office room|11|11
869,1040|827,1119|827,1119|LG5200||11|office room|11|11
1046,883|1049,916|1049,916|LG5317||11|office room|11|11
1126,992|1168,942|1168,942|LG5318||11|office room|11|11
1027,992|1062,944|1062,944|LG5319||11|office room|11|11
1096,863|1112,914|1112,914|LG5320||11|office room|11|11
1152,1257|1124,1227|1124,1227|LG5321||11|office room|11|11
1067,1269|1027,1230|1027,1230|LG5322||11|office room|11|11
968,1267|1023,1223|1023,1223|LG5323||11|office room|11|11
968,1177|1021,1208|1021,1208|LG5324||11|office room|11|11
1055,1179|1044,1204|1044,1204|LG5325||11|office room|11|11
987,1064|1029,1106|1029,1106|LG5326||11|office room|11|11
1139,1169|1149,1206|1149,1206|LG5327||11|office room|11|11
1425,786|1427,892|1427,892|LG5311||11|office room|11|11
1426,1065|1503,1038|1503,1038|LG5312||11|office room|11|11
1429,989|1368,940|1368,940|LG5313||11|office room|11|11
1275,991|1202,944|1202,944|LG5314||11|office room|11|11
1284,1063|1189,1038|1189,1038|LG5315||11|office room|11|11
1266,1112|1229,1101|1229,1101|LG5316||11|office room|11|11
1254,1162|1219,1174|1219,1174|LG531D||11|office room|11|11
1174,1164|1200,1157|1200,1157|LG532C||11|office room|11|11
1669,1002|1608,944|1608,944|LG5305||11|office room|11|11
1557,973|1522,943|1522,943|LG5306||11|office room|11|11
1558,1022|1510,995|1510,995|LG5307||11|office room|11|11
1567,1082|1509,1058|1509,1058|LG5308||11|office room|11|11
1444,1111|1489,1126|1489,1126|LG5309||11|office room|11|11
1445,1112|1489,1126|1489,1126|LG5309||11|office room|11|11
1582,1123|1510,1123|1510,1123|LG5310||11|office room|11|11
1941,1120|2023,1045|2023,1045|LG5302||11|office room|11|11
1485,1750|1648,1685|1648,1685|LG5001||11|office room|11|11
1672,1121|1667,1201|1667,1201|McDonald's||0|restaurant|0|0
2442,847|2443,869|2443,869|15||4|lift|4|4
2031,850|2030,872|2030,872|10||4|lift|4|4
2058,851|2058,872|2058,872|11||4|lift|4|4
2088,852|2088,873|2088,873|12||4|lift|4|4
1986,1732|1968,1742|1968,1742|3||4|lift|4|4
1066,1089|1088,1141|1088,1141|||2|toilet (male)|2|2
1138,1089|1110,1139|1110,1139|||3|toilet (female)|3|3
1905,1729|1928,1738|1928,1738|||6|stair|6|6
1759,1630|1657,1632|1657,1632|||6|stair|6|6
1967,872|2008,906|2008,906|||6|stair|6|6
2496,874|2466,905|2466,905|||6|stair|6|6
1623,840|1525,841|1525,841|||5|escalator|5|5
1625,861|1526,866|1526,866|||5|escalator|5|5
2228,1029|2307,1028|2307,1028|||5|escalator|5|5
2228,1060|2309,1062|2309,1062|||5|escalator|5|5
1226,1428|1331,1432|1331,1432|||6|stair|6|6
595,2369|635,2381|635,2381|||6|stair|6|6
601,1771|623,1808|623,1808|||6|stair|6|6
1185,1771|1200,1803|1200,1803|||6|stair|6|6
2230,1061|2308,1028|2145,1061|||5|escalator|5|5
