997,971|1040,1016|1040,1016|1359||11|office room|11|11
1064,968|1061,1016|1061,1016|1358D||11|office room|11|11
1125,1072|1089,1059|1089,1059|1358A||11|office room|11|11
1016,1071|1157,1113|1157,1113|1358||11|office room|11|11
1015,1178|1022,1128|1022,1128|1361||11|office room|11|11
950,1159|961,1129|961,1129|1361A||11|office room|11|11
928,1199|960,1172|960,1172|1361B||11|office room|11|11
1019,1264|1130,1201|1130,1201|1362||11|office room|11|11
1095,1158|1123,1131|1123,1131|1360||11|office room|11|11
1136,1225|1145,1207|1145,1207|1357||11|office room|11|11
1213,1200|1182,1202|1182,1202|1356||11|office room|11|11
1247,1001|1189,1099|1189,1099|1349B||11|office room|11|11
1521,1004|1599,1098|1599,1098|1349A||11|office room|11|11
1511,1140|1512,1127|1512,1127|1353||11|office room|11|11
1651,960|1622,936|1622,936|1352||11|office room|11|11
1655,1009|1623,1018|1623,1018|1351||11|office room|11|11
1651,1061|1625,1080|1625,1080|1350||11|office room|11|11
1628,1211|1621,1128|1621,1128|1348||11|office room|11|11
1350,1162|1339,1125|1339,1125|1354||11|office room|11|11
1745,1113|1631,1111|1631,1111|1346||11|office room|11|11
1151,1168|1181,1167|1181,1167|7||4|lift|4|4
1575,1174|1573,1141|1573,1141|9||4|lift|4|4
1275,1236|1304,1164|1304,1164|||3|toilet (female)|3|3
1194,1249|1168,1206|1168,1206|||2|toilet (male)|2|2
1396,803|1448,869|1450,869|||11|office room|11|11
1983,979|2015,902|2015,902|1340||11|office room|11|11
2016,842|2019,871|2019,871|10||4|lift|4|4
2053,841|2058,868|2058,868|11||4|lift|4|4
2087,842|2088,870|2088,870|12||4|lift|4|4
2390,844|2390,865|2390,865|13||4|lift|4|4
2426,843|2426,866|2426,866|14||4|lift|4|4
2465,843|2465,866|2465,866|15||4|lift|4|4
2771,1151|2747,1151|2747,1151|17||4|lift|4|4
2770,1189|2745,1185|2745,1185|18||4|lift|4|4
2513,933|2502,952|2502,952|1364A||11|office room|11|11
2587,1048|2460,903|2460,903|1364||11|office room|11|11
2527,1069|2565,1078|2565,1078|1370||11|office room|11|11
2528,1113|2564,1102|2564,1102|1374||11|office room|11|11
2528,1155|2563,1144|2563,1144|1373||11|office room|11|11
2527,1196|2565,1205|2565,1205|1372||11|office room|11|11
2527,1240|2564,1230|2564,1230|1371||11|office room|11|11
2791,978|2814,1017|2814,1017|1378||11|office room|11|11
2833,1018|2740,1060|2740,1060|1376||11|office room|11|11
2958,947|2938,994|2938,994|1384||11|office room|11|11
2970,997|2944,1018|2944,1018|1383||11|office room|11|11
2972,1062|2944,1041|2944,1041|1382||11|office room|11|11
2691,1094|2671,1063|2671,1063|1369||11|office room|11|11
2774,1095|2793,1063|2793,1063|1379||11|office room|11|11
2826,1117|2835,1064|2835,1064|1380||11|office room|11|11
