1944,974|1717,1038|1717,1038|Food Court||0|restaurant|0|0
982,1106|1071,979|1127,1155|G001,G002||12|class room|12|12
1510,890|1356,828|1431,1019|G003||12|class room|12|12
1381,487|1223,483|1328,633|G005||12|class room|12|12
1157,311|1088,406|1048,270|G007||12|class room|12|12
810,659|876,526|683,585|G021||12|class room|12|12
379,749|467,612|576,784|G012||12|class room|12|12
551,478|646,545|516,584|G011||12|class room|12|12
703,434|792,501|668,539|G010||12|class room|12|12
853,392|938,456|816,493|G009||12|class room|12|12
1286,940|1267,857|1267,857|G031||11|office room|11|11
1200,987|1182,1034|1182,1034|G033||11|office room|11|11
1144,985|1165,1033|1165,1033|G034||11|office room|11|11
1107,1226|1138,1198|1138,1198|G035||11|office room|11|11
1173,1274|1143,1238|1143,1238|G036||11|office room|11|11
1200,1095|1180,1051|1180,1051|G040||11|office room|11|11
1250,1095|1232,1050|1232,1050|G041||11|office room|11|11
1301,1094|1282,1050|1282,1050|G042||11|office room|11|11
1186,1207|1153,1175|1153,1175|G055||11|office room|11|11
1827,1149|1790,1153|1790,1153|3||4|lift|4|4
1827,1200|1791,1192|1791,1192|4||4|lift|4|4
1057,506|1023,518|1023,518|1||4|lift|4|4
1070,552|1036,562|1036,562|2||4|lift|4|4
1181,575|1215,637|1215,637|||6|stair|6|6
678,731|689,801|689,801|||6|stair|6|6
1242,1243|1232,1308|1232,1308|||6|stair|6|6
1925,1242|1942,1305|1942,1305|||6|stair|6|6
1155,914|1203,900|1203,900|||5|escalator|5|5
635,645|583,617|583,617|||2|toilet (male)|2|2
1705,1268|1758,1253|1758,1253|||2|toilet (male)|2|2
1708,1191|1759,1234|1759,1234|||3|toilet (female)|3|3
962,585|1008,651|1008,651|||3|toilet (female)|3|3
